ID,collection,sex,type,brood,wild_insectary,raised,observer,inter_eye_width,tibia_length,L_area,L_whole_count,R_area,R_whole_count
CAM_13031,PAN_2007,female,CP,stock,insectary,Gamboa,Shane,1.536,NA,8.316,14322,8.196,13707
CAM_13086,PAN_2007,female,CP,stock,insectary,Gamboa,Shane,1.577,NA,7.28,13569,7.121,13745
CAM_13087,PAN_2007,female,CP,stock,insectary,Gamboa,Shane,1.551,5.896,9.123,15142,8.758,14954
CAM_13118,PAN_2007,female,CP,stock,insectary,Gamboa,Shane,1.544,5.997,8.222,14059,8.417,14456
CAM_13220,PAN_2007,male,MP,NA,NA,Gamboa,Lisa,1.263,4.848,6.509,11818,NA,NA
CAM_13335,PAN_2007,male,CP,stock,insectary,Gamboa,Shane,1.502,6.027,8.75,15035,8.709,15107
CAM_13480,PAN_2007,male,MP,NA,NA,Gamboa,Lisa,1.435,5.081,7.241,13497,NA,NA
CAM_13540,PAN_2007,female,CP,stock,insectary,Gamboa,Lisa,1.461,5.722,8.423,13746,NA,NA
CAM_13547,PAN_2007,female,CP,stock,insectary,Gamboa,Lisa,1.495,6.102,9.355,15346,NA,NA
CAM_13635,PAN_2007,female,CP,stock,insectary,Gamboa,Lisa,1.442,NA,8.019,13951,NA,NA
CAM_13701,PAN_2007,female,CP,stock,insectary,Gamboa,Lisa,1.532,5.742,8.518,14181,NA,NA
CAM_14070,PAN_2007,female,MP,NA,NA,Gamboa,Lisa,1.352,NA,6.652,12147,NA,NA
CAM_14142,PAN_2007,male,MP,NA,NA,Gamboa,Lisa,1.332,4.855,6.912,12978,NA,NA
CAM_14327,PAN_2007,female,CP,stock,insectary,Gamboa,Lisa,1.409,5.542,8.294,14260,NA,NA
CAM_14511,PAN_2007,female,CP,stock,insectary,Gamboa,Lisa,1.397,5.45,7.426,13367,NA,NA
CAM_14512,PAN_2007,female,CP,NA,insectary,Gamboa,Lisa,1.426,5.276,7.633,14200,NA,NA
CAM_25197,PAN_2015,female,CP,NA,insectary,Gamboa,Shane,1.37,5.448,7.164,12557,7.175,12899
CAM_25230,PAN_2015,female,MP,NA,insectary,Gamboa,Shane,1.28,5.335,6.702,13570,6.877,14070
CAM_25231,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.463,5.275,8.107,13822,8.149,14009
CAM_25232,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.462,5.277,8.346,15077,8.209,15287
CAM_25251,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.381,5.384,8.095,15328,8.115,15343
CAM_25263,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.275,4.73,6.898,13847,7.011,14113
CAM_25264,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.438,5.23,7.664,14725,7.59,14484
CAM_25271,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.407,5.19,7.832,14936,7.773,15079
CAM_25541,PAN_2015,male,CP,NA,insectary,Gamboa,Shane,1.516,5.645,9.239,15868,9.044,15400
CAM_25550,PAN_2015,male,MP,NA,insectary,Gamboa,Shane,1.385,4.88,7.442,14275,7.522,14363
