scaffold,position,start,end,midpoint,sites,chi_rosFst,chi_melFGFst,chi_melPFst,chi_amFst,chi_agFst,chi_timPFst,ros_melFGFst,ros_melPFst,ros_amFst,ros_agFst,ros_timPFst,melFG_melPFst,melFG_amFst,melFG_agFst,melFG_timPFst,melP_amFst,melP_agFst,melP_timPFst,am_agFst,am_timPFst,ag_timPFst
HE669515,50000,0,100000,606,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669507,50000,0,100000,7599,3061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669507,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669501,50000,0,100000,7346,4227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669501,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669499,50000,0,100000,11918,3323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669499,70000,20000,120000,21883,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669497,50000,0,100000,18988,6810,0.266,0.399,0.185,0.3283,0.2971,0.3036,0.2947,0.029,0.2383,0.2012,0.3441,0.3149,0.1944,0.1693,0.343,0.1982,0.1546,0.2783,-0.0069,0.2172,0.2081
HE669497,70000,20000,120000,28969,2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669497,90000,40000,140000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669495,50000,0,100000,45139,10518,0.5861,0.6144,0.4959,0.5461,0.5409,0.3275,0.5304,0.0481,0.4387,0.4511,0.4894,0.4744,0.3453,0.3469,0.5188,0.3847,0.4039,0.3941,0.008,0.3997,0.3992
HE669495,70000,20000,120000,55100,7129,0.6339,0.6657,0.5294,0.5923,0.6071,0.2881,0.59,0.0291,0.5229,0.5607,0.5145,0.5311,0.3906,0.4289,0.5494,0.4572,0.4996,0.3855,0.0085,0.4176,0.4332
HE669495,90000,40000,140000,65108,4197,NA,NA,NA,0.6435,0.6697,0.3389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125,0.4591,0.4871
HE669495,110000,60000,160000,75105,2034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669493,50000,0,100000,24134,5125,0.7472,0.8194,NA,0.7774,0.7086,0.3088,0.7295,0.0779,0.6712,0.5602,0.5249,NA,0.5224,0.3677,0.5422,0.6215,0.4644,NA,0.0321,0.433,0.3779
HE669493,70000,20000,120000,34002,2894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669493,90000,40000,140000,44141,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
